,Count,Interface ID,Encap Type,Time,Time Epoch,Time Delta,Time Delta Displayed,Time Relative,Number,Len,Cap Len,Marked,Ignored,Protocols
0,0,0,23,"Apr 13, 2017 15:56:30.615367000 Pacific Daylight Time",1492124190.615367000,0.004873000,0.000000000,0.106383000,82,259,259,0,0,radiotap:wlan_radio:wlan
1,1,0,23,"Apr 13, 2017 15:56:30.716003000 Pacific Daylight Time",1492124190.716003000,0.000222000,0.100636000,0.207019000,151,259,259,0,0,radiotap:wlan_radio:wlan
2,2,0,23,"Apr 13, 2017 15:56:30.821941000 Pacific Daylight Time",1492124190.821941000,0.000284000,0.105938000,0.312957000,220,259,259,0,0,radiotap:wlan_radio:wlan
3,3,0,23,"Apr 13, 2017 15:56:30.931198000 Pacific Daylight Time",1492124190.931198000,0.000458000,0.109257000,0.422214000,288,259,259,0,0,radiotap:wlan_radio:wlan
4,4,0,23,"Apr 13, 2017 15:56:31.021992000 Pacific Daylight Time",1492124191.021992000,0.000341000,0.090794000,0.513008000,355,259,259,0,0,radiotap:wlan_radio:wlan
5,5,0,23,"Apr 13, 2017 15:56:31.128091000 Pacific Daylight Time",1492124191.128091000,0.000419000,0.106099000,0.619107000,417,259,259,0,0,radiotap:wlan_radio:wlan
6,6,0,23,"Apr 13, 2017 15:56:31.226516000 Pacific Daylight Time",1492124191.226516000,0.000953000,0.098425000,0.717532000,522,259,259,0,0,radiotap:wlan_radio:wlan
7,7,0,23,"Apr 13, 2017 15:56:31.328880000 Pacific Daylight Time",1492124191.328880000,0.009067000,0.102364000,0.819896000,558,259,259,0,0,radiotap:wlan_radio:wlan
8,8,0,23,"Apr 13, 2017 15:56:31.431193000 Pacific Daylight Time",1492124191.431193000,0.001158000,0.102313000,0.922209000,621,259,259,0,0,radiotap:wlan_radio:wlan
9,9,0,23,"Apr 13, 2017 15:56:31.533605000 Pacific Daylight Time",1492124191.533605000,0.004897000,0.102412000,1.024621000,631,259,259,0,0,radiotap:wlan_radio:wlan
10,10,0,23,"Apr 13, 2017 15:56:31.636117000 Pacific Daylight Time",1492124191.636117000,0.000539000,0.102512000,1.127133000,639,259,259,0,0,radiotap:wlan_radio:wlan
11,11,0,23,"Apr 13, 2017 15:56:31.738460000 Pacific Daylight Time",1492124191.738460000,0.000865000,0.102343000,1.229476000,643,259,259,0,0,radiotap:wlan_radio:wlan
12,12,0,23,"Apr 13, 2017 15:56:31.840866000 Pacific Daylight Time",1492124191.840866000,0.064164000,0.102406000,1.331882000,646,259,259,0,0,radiotap:wlan_radio:wlan
13,13,0,23,"Apr 13, 2017 15:56:31.951835000 Pacific Daylight Time",1492124191.951835000,0.000122000,0.110969000,1.442851000,729,259,259,0,0,radiotap:wlan_radio:wlan
14,14,0,23,"Apr 13, 2017 15:56:32.045566000 Pacific Daylight Time",1492124192.045566000,0.064165000,0.093731000,1.536582000,734,259,259,0,0,radiotap:wlan_radio:wlan
